,Week_ID,Year,Away_Team,Away_Score,Home_Team,Home_Score,Favored_Team,Vegas_Line,Away_PPG_ma,Away_FD_ma,Away_RYPG_ma,Away_PYPG_ma,Away_TO_ma,Away_PPGA_ma,Away_FDA_ma,Away_RYPGA_ma,Away_PYPGA_ma,Away_TOA_ma,Away_Win_Rate,Home_PPG_ma,Home_FD_ma,Home_RYPG_ma,Home_PYPG_ma,Home_TO_ma,Home_PPGA_ma,Home_FDA_ma,Home_RYPGA_ma,Home_PYPGA_ma,Home_TOA_ma,Home_Win_Rate,Away_Elo,Home_Elo,CF_Result,Point_Differential
276,276,2003,12,13,5,33,5,-2.5,16.75,18.0,111.5,189.25,1.75,16.5,17.5,115.25,208.25,2.0,0.625,20.5,17.5,104.5,202.0,1.75,25.25,20.0,105.25,200.5,1.5,0.375,1515.7027642841545,1432.8495014551033,0.2554144561290741,-20
277,277,2003,11,10,9,31,9,-8.0,13.25,14.25,79.25,185.75,1.5,20.5,18.0,135.75,192.5,0.75,0.375,15.0,15.5,83.0,195.0,2.25,22.25,19.25,155.5,195.75,1.75,0.25,1346.2490679903422,1556.2653068696015,0.27085644006729126,-21
278,278,2003,20,21,15,10,20,-3.0,21.0,17.0,133.0,175.25,1.5,21.25,17.75,107.0,220.75,1.75,0.5,24.5,17.75,107.0,198.5,0.25,17.5,17.5,119.0,163.75,1.25,0.625,1574.709335586404,1479.597232198687,0.41478896141052246,11
279,279,2003,29,33,7,31,7,-3.0,20.75,19.5,161.0,191.0,2.5,17.75,11.0,68.0,139.5,2.0,0.5,25.75,20.25,137.5,251.25,2.25,20.5,17.5,147.75,200.5,3.0,0.625,1465.2479868274218,1605.2759403572682,0.5657880902290344,2
280,280,2003,4,38,3,17,4,-3.0,19.5,20.0,101.0,170.75,3.0,8.0,15.75,106.0,165.75,2.25,0.5,18.75,17.5,103.25,179.75,0.75,21.75,18.5,122.0,156.0,1.25,0.25,1521.5356467968625,1500.6694085998286,0.601637601852417,21
281,281,2003,21,38,27,0,21,-5.0,29.5,25.5,145.0,284.25,1.75,18.0,20.5,87.75,266.5,3.25,0.625,18.25,18.25,104.0,196.75,2.25,31.5,20.25,124.25,234.5,1.0,0.125,1461.439017920939,1352.0904047591807,0.7773128747940063,38
282,282,2003,0,12,6,9,6,-9.0,18.0,14.0,86.25,138.5,2.75,18.25,14.25,96.0,177.25,2.5,0.625,15.5,18.5,112.0,201.25,1.0,9.25,15.25,111.0,159.5,2.0,0.75,1475.237053774286,1695.1582669476027,0.8511614203453064,3
283,283,2003,14,20,8,23,8,-12.0,13.5,19.5,110.0,223.5,3.25,24.75,18.25,106.25,180.75,2.0,0.125,22.25,18.25,126.5,167.0,1.5,16.0,18.25,80.5,211.5,1.75,0.75,1225.7195644449214,1633.3837776581336,0.46587273478507996,-3
284,284,2003,1,37,16,13,1,-3.0,28.5,22.0,180.25,207.0,2.25,17.25,18.75,114.0,215.25,2.0,0.5,19.25,17.75,104.0,230.25,1.0,25.5,22.25,125.5,277.75,1.75,0.25,1601.3782468719967,1475.67128119465,0.6349345445632935,24
285,285,2003,26,31,13,10,13,-4.0,12.75,15.25,93.5,147.25,2.5,27.25,20.5,177.25,182.5,0.75,0.5,17.0,13.5,102.5,180.75,1.5,12.75,16.75,114.25,192.5,2.75,0.75,1493.9978591846818,1654.978436621984,0.8779425621032715,21
286,286,2003,10,13,18,24,18,-9.0,10.25,12.5,75.0,124.25,3.25,25.25,18.0,136.25,176.25,1.25,0.25,30.0,22.0,145.75,252.75,1.75,27.25,18.25,75.5,231.5,2.5,0.625,1312.1150556449468,1415.8346596706656,0.5435312390327454,-11
287,287,2003,25,35,24,32,24,-7.5,9.25,11.75,89.75,154.25,3.0,27.75,18.0,130.0,221.5,2.0,0.25,28.5,20.5,155.5,255.25,2.5,13.5,15.25,64.75,236.25,2.5,0.75,1352.114245431743,1576.4544420031566,0.4616602063179016,3
288,288,2003,3,13,23,23,23,-7.5,15.75,17.5,99.75,174.75,0.75,27.5,18.75,116.5,179.25,0.75,0.125,22.25,19.0,92.5,215.75,1.25,17.5,19.0,102.0,210.75,2.0,0.75,1468.2126400681232,1605.595857695596,0.385572224855423,-10
289,289,2003,28,17,14,10,28,-4.5,26.25,20.25,104.25,245.0,2.0,23.5,18.75,108.75,194.25,2.75,0.75,14.75,21.5,126.0,236.5,3.25,23.25,16.25,112.5,153.5,2.0,0.125,1570.2642499225042,1204.3708792187404,0.7146857380867004,7
290,290,2003,17,42,11,14,17,-7.5,23.0,17.0,96.75,209.25,1.5,20.0,18.75,138.0,199.25,2.0,0.625,11.0,14.5,74.25,186.0,1.5,22.5,17.0,145.75,181.0,0.75,0.375,1560.6001899335317,1302.7888140362084,0.7217994332313538,28
291,291,2003,15,16,26,23,26,-6.0,23.75,17.25,78.75,240.0,0.25,17.75,18.25,139.5,170.75,1.5,0.5,18.75,16.75,95.0,179.0,2.0,23.75,21.25,142.75,192.75,2.0,0.625,1449.4154479879783,1512.9143690318012,0.0699542760848999,-7
292,292,2003,18,23,22,13,18,-4.0,28.0,22.75,159.75,229.0,2.0,22.75,16.25,76.0,208.25,2.75,0.625,24.75,15.5,75.5,211.5,2.25,32.25,22.25,161.5,275.75,2.25,0.125,1446.4459309614829,1313.4779597928525,0.9937456846237183,10
293,293,2003,9,12,19,27,19,-4.5,15.0,14.0,91.0,185.25,2.25,16.75,17.75,137.75,168.25,2.25,0.375,18.25,17.25,111.0,175.25,1.0,16.5,15.5,66.0,186.25,0.75,0.75,1599.7255608237353,1546.8830655171612,0.2232617884874344,-15
